用语,解释
奥斯汀帝国,原型为同盟国，主体为德二
沙巴特联邦,原型为沙皇俄国，沙巴特联邦为了攫取利益妄图用人海战术攻略奥斯汀帝国而发动了战争，但由于枪械和战壕的出现是这场战争最终演变为长达十年多的东西战争
东西战争,奥斯汀帝国与沙巴特联邦的战争，双方以原本的国境塔尔河为基点展开的数年的拉锯战和堑壕战，奥斯汀侧前线为西部战线和南部战线，其中西部战线在丝露芙攻势中被毁灭
ACE,王牌战士，原型为一战的王牌飞行员
丝露芙攻势,多点同时发动攻势结束了东西战争，原型是布鲁西洛夫攻势，西部战线溃败后，沙巴特联邦军部独走，大肆烧杀劫掠，并拒绝奥斯汀帝国投降，激起了奥斯汀帝国人民的反抗
马修戴尔撤退战,西部战线溃败后，奥斯汀军残部撤退回马修戴尔，期间沙巴特军大肆发动对奥斯汀帝国和平民的焦土作战
马修戴尔保卫战,堡垒战役，奥斯汀军残部的重组
穆松堡抵抗战,奥斯汀帝国宣布无条件投降后，在首都维因前哨穆松堡发生的最后一场保卫首都的舍奸抵抗战，原型为岛津义弘撤退战法
弗拉梅尔王国,原型为意大利，弗拉梅尔王国乘奥斯汀帝国来访寻求支援时杀死了奥斯汀帝皇，对奥斯汀帝国发动侵略战争，意图同沙巴特联邦一起瓜分奥斯汀帝国的领土
埃里斯王国,海外岛国，原型应该是英国与罗马尼亚王国的杂交体，但名称实际上是源自法国（
全面战争,沙巴特联邦拒绝奥斯汀帝国投降后两国拉开的全面战争，贝伦率领奥斯汀南部军队诱奸了沙巴特南部军，并北上击溃了沙巴特军的补给线，使沙巴特军退败塔尔河，同时伦威尔讲原西部军残部重组为奥斯汀中央军，弗拉梅尔王国和埃里斯王国发动了对奥斯汀王国的趁火打劫，沙巴特联邦和奥斯汀形成决战的对峙局面
冬季行军,沙巴特军与奥斯汀军决战前夕，奥斯汀中央军与南部军会和，此间发生了沙巴特军和奥斯汀军的零星会战，保存了奥斯汀中央军的有生力量
北部决战,奥斯汀军与沙巴特军在北部塔尔河发生的决战，丝露芙偷袭奥斯汀军补给失败，沙巴特主力军在北部桥梁上被坑杀，使得沙巴特帝国无力再维持与奥斯汀帝国的战争而退败，原型为坦能堡战役和第二次马恩河战役
劳动者议会,领导者蕾米·乌里亚科夫原型即列宁，不过劳动者议会与苏维埃联盟相去甚远，蕾米在奥斯汀军的援助下领导了对旧政府军的血腥起义，在沙巴特内战中与奥斯汀军媾和，引入奥斯汀军参战，最终取得了胜利
沙巴特革命,沙巴特军退败后国民暴动，最终发展为国内劳动者议会与旧政府军发生的沙巴特内战，原型即沙俄内战
约瑟格勒攻略战,约瑟格勒原型是彼得格勒和斯大林格勒，劳动者议会与旧政府军的最后一场大决战，劳动者议会最终在奥斯汀军的援助下攻占了约瑟格勒，驱逐了旧政府军，结束了沙巴特内战
弗拉梅尔边境攻防战,结束了与沙巴特的战争后，为了清算侵略的弗拉梅尔联军，奥斯汀军发动了收复失地的战争，并将战火烧至弗拉梅尔领土，意图占领弗拉梅尔，在战线接连失利的情况下，弗拉梅尔接收了丝露芙率领的沙巴特旧政府军，奥斯汀军与弗拉梅尔战线陷入僵持
